"temp","days","rep","mortality"
7.5,30,"r3",1
7.5,30,"r4",0
7.5,30,"r5",0
7.5,30,"r6",0
7.5,30,"r7",0
7.5,30,"r8",0
7.5,30,"r9",0
7.5,30,"r10",1
7.5,30,"r11",0
7.5,30,"r12",0
7.5,30,"r13",1
7.5,30,"r14",0
7.5,30,"r15",1
7.5,30,"r16",1
7.5,30,"r17",0
7.5,30,"r18",0
7.5,30,"r19",0
7.5,30,"r20",0
25,5,"r1",1
25,5,"r2",1
25,5,"r3",1
25,5,"r4",1
25,5,"r5",1
25,5,"r6",1
25,5,"r7",1
25,5,"r8",1
25,5,"r9",1
25,5,"r10",0
25,5,"r11",1
25,5,"r12",1
25,5,"r13",1
25,5,"r14",1
25,5,"r15",1
25,5,"r16",1
25,5,"r17",1
25,5,"r18",1
25,5,"r19",1
25,5,"r20",0
25,10,"r1",1
25,10,"r2",1
25,10,"r3",1
25,10,"r4",0
25,10,"r5",1
25,10,"r6",1
25,10,"r7",1
25,10,"r8",0
25,10,"r9",1
25,10,"r10",1
25,10,"r11",1
25,10,"r12",1
25,10,"r13",1
25,10,"r14",1
25,10,"r15",1
25,10,"r16",1
25,10,"r17",1
25,10,"r18",1
25,10,"r19",1
25,10,"r20",1
25,15,"r1",1
25,15,"r2",0
25,15,"r3",1
25,15,"r4",1
25,15,"r5",1
25,15,"r6",1
25,15,"r7",1
25,15,"r8",1
25,15,"r9",1
25,15,"r10",1
25,15,"r11",1
25,15,"r12",1
25,15,"r13",1
25,15,"r14",1
25,15,"r15",1
25,15,"r16",1
25,15,"r17",1
25,15,"r18",1
25,15,"r19",1
25,15,"r20",1
25,20,"r1",1
25,20,"r2",1
25,20,"r3",1
25,20,"r4",1
25,20,"r5",1
25,20,"r6",1
25,20,"r7",0
25,20,"r8",1
25,20,"r9",1
25,20,"r10",1
25,20,"r11",1
25,20,"r12",1
25,20,"r13",0
25,20,"r14",1
25,20,"r15",1
25,20,"r16",1
25,20,"r17",1
25,20,"r18",1
25,20,"r19",1
25,20,"r20",1
25,30,"r1",1
25,30,"r2",1
25,30,"r3",1
25,30,"r4",1
25,30,"r5",1
25,30,"r6",1
25,30,"r7",1
25,30,"r8",1
25,30,"r9",1
25,30,"r10",0
25,30,"r11",1
25,30,"r12",1
25,30,"r13",1
25,30,"r14",1
25,30,"r15",1
25,30,"r16",1
25,30,"r17",1
25,30,"r18",1
25,30,"r19",1
25,30,"r20",1
